"決算発表予定日
Scheduled Dates for Earnings Announcements","コード
Code",会社名,Issue Name,"決算期末
Fiscal Year-end",業種名,Industry,種別,Fiscal Year/Quarter,市場区分,Market Segment
2025-11-14 00:00:00,3598,山喜,"YAMAKI CO.,LTD.",2026-03-31 00:00:00,繊維製品,Textiles & Apparels,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3661,エムアップホールディングス,"m-up holdings,Inc.",2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,366A,ウェルネス・コミュニケーションズ,Wellness Communications Corporation,2026-03-31 00:00:00,サービス業,Services,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3674,オークファン,"Aucfan Co.,Ltd.",2025-09-30 00:00:00,情報・通信業,Information & Communication,本決算,Fiscal year,グロース,Growth
2025-11-14 00:00:00,3686,ディー・エル・イー,DLE Inc.,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3687,フィックスターズ,Fixstars Corporation,2025-09-30 00:00:00,情報・通信業,Information & Communication,本決算,Fiscal year,プライム,Prime
2025-11-14 00:00:00,3691,デジタルプラス,"DIGITAL PLUS,Inc.",2025-09-30 00:00:00,情報・通信業,Information & Communication,本決算,Fiscal year,グロース,Growth
2025-11-14 00:00:00,3694,オプティム,OPTiM CORPORATION,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,3726,フォーシーズＨＤ,"4Cs HD Co.,Ltd.",2025-09-30 00:00:00,小売業,Retail Trade,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,3747,インタートレード,"INTERTRADE Co.,Ltd.",2025-09-30 00:00:00,情報・通信業,Information & Communication,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,3750,ＡＤＲ１２０Ｓ,"ADR120S,Inc.",2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3753,フライトソリューションズ,FLIGHT SOLUTIONS Inc.,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3763,プロシップ,Pro-Ship Incorporated,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,3825,リミックスポイント,"Remixpoint,inc.",2026-03-31 00:00:00,小売業,Retail Trade,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3845,アイフリークモバイル,I-FREEK MOBILE INC.,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3851,日本一ソフトウェア,"Nippon Ichi Software,Inc.",2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3856,Ａｂａｌａｎｃｅ,Abalance Corporation,2026-03-31 00:00:00,電気機器,Electronic Appliances,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3858,ユビキタスＡＩ,Ubiquitous AI Corporation ,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3865,北越コーポレーション,Hokuetsu Corporation,2026-03-31 00:00:00,パルプ・紙,Pulp & Paper,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,3880,大王製紙,Daio Paper Corporation,2026-03-31 00:00:00,パルプ・紙,Pulp & Paper,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,3900,クラウドワークス,CrowdWorks Inc.,2025-09-30 00:00:00,情報・通信業,Information & Communication,本決算,Fiscal year,グロース,Growth
2025-11-14 00:00:00,3905,データセクション,Datasection Inc.,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3923,ラクス,"RAKUS Co.,Ltd.",2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,3927,フーバーブレイン,Fuva Brain Limited,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3929,ソーシャルワイヤー,"SOCIALWIRE CO.,LTD.",2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3933,チエル,"CHIeru Co.,Ltd.",2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,3936,グローバルウェイ,"Globalway,Inc.",2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3979,うるる,"ULURU.CO.,LTD.",2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,3989,シェアリングテクノロジー,SHARINGTECHNOLOGY.INC,2025-09-30 00:00:00,情報・通信業,Information & Communication,本決算,Fiscal year,グロース,Growth
2025-11-14 00:00:00,4031,片倉コープアグリ,Katakura & Co-op Agri Corporation,2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,4071,プラスアルファ・コンサルティング,"Plus Alpha Consulting Co.,LTD.",2025-09-30 00:00:00,情報・通信業,Information & Communication,本決算,Fiscal year,プライム,Prime
2025-11-14 00:00:00,4088,エア・ウォーター,AIR WATER INC.,2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,4097,高圧ガス工業,"KOATSU GAS KOGYO CO.,LTD.",2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,4098,チタン工業,"Titan Kogyo ,Ltd.",2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,4119,日本ピグメントホールディングス,Nippon Pigment Holdings Company Limited,2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,4124,大阪油化工業,OSAKA YUKA INDUSTRY LTD.,2025-09-30 00:00:00,化学,Chemicals,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,4167,ココペリ,Kokopelli Inc.,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,4177,ｉ‐ｐｌｕｇ,"i-plug,Inc.",2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,4179,ジーネクスト,G-NEXT Inc.,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,4234,サンエー化研,"Sun A.Kaken Company,Limited",2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,423A,ライオン事務器,LION OFFICE PRODUCTS CORP.,2025-09-30 00:00:00,卸売業,Wholesale Trade,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,4240,クラスターテクノロジー,"CLUSTER TECHNOLOGY CO.,LTD.",2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,4241,アテクト,atect corporation,2026-03-31 00:00:00,化学,Chemicals,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,4260,ハイブリッドテクノロジーズ,"Hybrid Technologies Co.,Ltd.",2025-09-30 00:00:00,情報・通信業,Information & Communication,本決算,Fiscal year,グロース,Growth
